1,phone,,You must provide a phone number.
2,phone,text,Phone should be a number.
3,phone,1234,Phone should be 10 digits exactly.
4,phone,2149999999,
5,email,,You must provide an email.
6,email,short,Your email should be 7 characters minumimum and 45 characters maximum
7,email,email@gmail.com,.edu domain only. Alphanumeric and . only
8,email,myemail@uta.edu,
9,license_no,,You must provide a license plate number.
10,license_no,six666,License plate should be exactly 7 characters.
11,license_no,aaa0000,Format is : AAANNNN . A for letter and N for number.
12,license_no,ABC1234,You already have a user account associated with this license plate number.
13,license_no,XVX9999,
14,password,,You must provide a password.
15,password,short,Your password should be 8 characters minumimum and 16 characters maximum
16,password,//password,Allowed : letters numbers and one or more of the following characters: !@#$%
17,password,mypassword,
